Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-28,ADANIENT,EQ,1519.45,1524.9,1565.0,1518.2,1523.3,1525.75,1540.1,6178022,951475809435000.0,140628,826143,0.13369999999999999
2021-06-29,ADANIENT,EQ,1525.75,1526.0,1548.7,1513.0,1523.6,1523.55,1530.52,5551918,849730352965000.0,97242,582341,0.10490000000000001
2021-06-30,ADANIENT,EQ,1523.55,1539.0,1539.0,1502.7,1507.0,1507.55,1522.9,3256147,495879000810000.06,62996,403439,0.12390000000000001
2021-07-01,ADANIENT,EQ,1507.55,1509.55,1522.55,1482.9,1492.0,1490.25,1499.94,3759914,563964978465000.0,75052,353774,0.0941
2021-07-02,ADANIENT,EQ,1490.25,1490.25,1507.7,1411.55,1424.0,1422.05,1456.48,6653653,969093946054999.9,134469,601448,0.0904
2021-07-05,ADANIENT,EQ,1422.05,1427.0,1443.95,1350.6,1396.0,1394.35,1391.2,12239845,1702806452450000.0,260649,1656998,0.1354
2021-07-06,ADANIENT,EQ,1394.35,1400.9,1444.15,1378.75,1419.0,1414.8,1418.36,9485434,1345374663890000.0,192093,422624,0.0446
2021-07-07,ADANIENT,EQ,1414.8,1420.0,1437.1,1385.0,1426.7,1425.65,1410.15,5549751,782599770475000.0,111349,309657,0.0558
2021-07-08,ADANIENT,EQ,1425.65,1420.0,1445.0,1411.8,1423.0,1425.9,1426.98,3898830,556353738320000.0,76551,255996,0.06570000000000001
2021-07-09,ADANIENT,EQ,1425.9,1425.9,1456.6,1416.45,1430.35,1431.35,1434.29,4502324,645764811745000.0,86132,366792,0.0815
2021-07-12,ADANIENT,EQ,1431.35,1442.0,1447.0,1414.15,1421.0,1420.7,1429.72,2557189,365605205290000.0,48390,174711,0.0683
2021-07-13,ADANIENT,EQ,1420.7,1433.0,1433.0,1385.2,1415.7,1417.7,1408.28,4157955,585555014265000.0,80296,289493,0.0696
2021-07-14,ADANIENT,EQ,1417.7,1449.0,1449.0,1397.8,1398.8,1402.05,1416.75,3859529,546797508425000.0,73736,407274,0.10550000000000001
2021-07-15,ADANIENT,EQ,1402.05,1399.0,1429.0,1393.4,1406.0,1407.95,1407.55,2728305,384021996345000.0,56937,272155,0.0998
2021-07-16,ADANIENT,EQ,1407.95,1409.0,1415.0,1388.25,1395.1,1395.5,1399.16,2134914,298708162340000.0,40532,272668,0.1277
2021-07-19,ADANIENT,EQ,1395.5,1390.0,1412.65,1332.75,1377.95,1380.6,1372.94,6190302,849890885905000.0,120662,464942,0.0751
2021-07-20,ADANIENT,EQ,1380.6,1340.0,1382.9,1336.1,1358.2,1365.7,1361.89,4529933,616925994015000.0,92452,372394,0.08220000000000001
2021-07-22,ADANIENT,EQ,1365.7,1375.0,1424.9,1340.5,1420.3,1416.75,1383.54,5009804,693127579425000.0,100191,521231,0.10400000000000001
2021-07-23,ADANIENT,EQ,1416.75,1430.0,1434.85,1386.2,1399.95,1401.65,1407.89,4694140,660883955755000.0,98094,329379,0.0702
2021-07-26,ADANIENT,EQ,1401.65,1399.8,1416.8,1392.0,1405.55,1403.9,1405.65,2054318,288765761315000.0,46181,190932,0.0929
2021-07-27,ADANIENT,EQ,1403.9,1403.9,1424.6,1378.15,1404.0,1396.75,1399.99,2978042,416923708280000.0,54101,426656,0.1433
2021-07-28,ADANIENT,EQ,1396.75,1406.85,1424.8,1378.6,1396.05,1399.9,1402.87,3188606,447318981880000.0,67514,276252,0.0866
2021-07-29,ADANIENT,EQ,1399.9,1413.95,1425.0,1397.0,1400.0,1400.25,1412.71,2538248,358579923855000.0,38796,586079,0.2309
2021-07-30,ADANIENT,EQ,1400.25,1409.5,1449.5,1400.25,1426.05,1420.25,1428.4,4403219,628956283135000.0,68464,1083252,0.24600000000000002
2021-08-02,ADANIENT,EQ,1420.25,1435.0,1445.0,1424.1,1443.15,1438.2,1434.26,2483790,356240995925000.0,46243,704626,0.2837
2021-08-03,ADANIENT,EQ,1438.2,1467.0,1467.0,1422.2,1443.0,1442.8,1441.99,4442122,640551607675000.0,85757,829706,0.1868
2021-08-04,ADANIENT,EQ,1442.8,1460.0,1460.0,1423.05,1427.4,1429.55,1439.53,3341801,481061486085000.06,60087,633522,0.18960000000000002
2021-08-05,ADANIENT,EQ,1429.55,1428.0,1438.0,1407.4,1432.95,1432.35,1425.52,2104359,299981398535000.0,37536,481137,0.2286
2021-08-06,ADANIENT,EQ,1432.35,1422.0,1555.0,1422.0,1539.0,1536.65,1514.25,14250256,2157845490750000.0,244951,1834674,0.12869999999999998
